"Start Date","End Date","Progress","Finished","Birthyear","Gender","ESL","Race","Country","State","Role","Work","Employed","Ann_Income","Edu_Level","Pol_Aff","Religion","Read","Read_SM","Make_SM","Open_Elem","How_Many_Days","Capacity","Vacc_Effec","Chart_Control1","Chart_Control2","Chart_Treat1","Chart_Treat2","Array_Control1","Array_Control2","Array_Control3","Array_Treat1","Array_Treat2","Array_Treat3"
"2021-03-31 20:31:36","2021-03-31 22:09:40","100","True","1993","Cisgender Woman","No","Hispanic or Latino","United States of America","California","Other","Yes","Employed part time","$20,000 - $29,999","Bachelor's degree","Independent","Roman Catholic","I buy physical books","More than once a day","Weekly","No","Less than 5 weekdays","50%","Extremely effective: 95%","","Right","","","","Right","","","",""
"2021-03-31 21:08:28","2021-03-31 22:21:46","100","True","1990","Cisgender Man","Yes","Asian","United States of America","California","Other","Yes","Employed full time","$70,000 - $79,999","Advanced degree (Master's, Doctorate)","Democrat","Atheist or agnostic","I buy both","More than once a day","Less than Weekly","No","None","50%","Very effective: 90%","","","Wrong","","","","","","","Right"
"2021-03-31 21:20:32","2021-03-31 22:24:20","100","True","1982","Cisgender Woman","No","Asian","United States of America","California","Other","Yes","Unemployed looking for work","$60,000 - $69,999","Bachelor's degree","Independent","Protestant","I buy physical books","More than once a day","Weekly","Yes","Less than 5 weekdays","50%","Very effective: 90%","Right","","","","","","","Right","",""
"2021-03-31 20:31:33","2021-03-31 22:27:51","100","True","1984","Cisgender Woman","Yes","Non-Hispanic White","United States of America","Missouri","Other","Yes","Employed part time","$10,000 - $19,999","Some college","Other","Other Christian:","I buy ebooks","More than once a day","Weekly","Yes","Monday - Friday","75%","Moderately effective: 85%","","","Right","","","","Right","","",""
"2021-03-31 21:26:17","2021-03-31 22:33:03","100","True","1996","Cisgender Man","Yes","Non-Hispanic White","United States of America","Florida","Staff","Yes","Employed full time","$90,000 - $99,999","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy physical books","Less than Weekly","Weekly","Yes","Less than 5 weekdays","75%","Very effective: 90%","","","","Wrong","","","","","","Right"
"2021-03-31 20:33:56","2021-03-31 22:35:55","100","True","1989","Cisgender Man","Yes","Non-Hispanic White","United Kingdom of Great Britain and Northern Ireland","","Graduate Student","Yes","Employed full time","$60,000 - $69,999","Bachelor's degree","Republican","Roman Catholic","I buy physical books","Weekly","Weekly","Yes","Less than 5 weekdays","75%","Very effective: 90%","","","Wrong","","","","","","","Right"
"2021-03-31 21:44:04","2021-03-31 22:48:59","100","True","2000","Cisgender Man","Yes","Asian","United States of America","New Jersey","Undergraduate Student","Yes","Student","Less than $10,000","Some college","Democrat","Atheist or agnostic","I buy physical books","More than once a day","Less than Weekly","No","Less than 5 weekdays","50%","Extremely effective: 95%","Right","","","","","","","Right","",""
"2021-03-31 22:19:05","2021-03-31 22:59:13","100","True","1993","Cisgender Man","Yes","Native American","United States of America","South Carolina","Staff","Yes","Employed part time","$10,000 - $19,999","Bachelor's degree","Republican","Roman Catholic","I buy physical books","Daily","Daily","Yes","Less than 5 weekdays","75%","Moderately effective: 85%","Wrong","","","","","","","","","Right"
"2021-03-31 22:18:37","2021-03-31 23:04:32","100","True","1998","Cisgender Man","Yes","Non-Hispanic White","United States of America","Wisconsin","Graduate Student","Yes","Student","$30,000 - $39,999","Bachelor's degree","Democrat","Roman Catholic","I buy physical books","Less than Weekly","Weekly","Yes","Less than 5 weekdays","75%","Extremely effective: 95%","Wrong","","","","Right","","","","",""
"2021-03-31 21:54:32","2021-03-31 23:12:18","100","True","1996","Cisgender Woman","Yes","Black or African American","United States of America","Texas","Undergraduate Student","Yes","Student","Less than $10,000","Some college","Independent","Roman Catholic","I buy physical books","More than once a day","Less than Weekly","Yes","Less than 5 weekdays","25%","Extremely effective: 95%","","","","Right","","","","","Right",""
"2021-03-31 21:42:56","2021-03-31 23:17:21","100","True","1975","Cisgender Woman","Yes","Non-Hispanic White","United States of America","Washington","Other","Yes","Employed part time","$20,000 - $29,999","Some college","Democrat","Atheist or agnostic","I buy physical books","Weekly","Less than Weekly","No","None","25%","Moderately effective: 85%","Right","","","","Right","","","","",""
"2021-03-31 22:30:05","2021-03-31 23:17:23","100","True","1996","Cisgender Woman","Yes","Non-Hispanic White","United States of America","New Jersey","Graduate Student","No","Employed full time","","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy ebooks","Weekly","Weekly","Yes","Less than 5 weekdays","75%","Extremely effective: 95%","","","Wrong","","","","","","","Right"
"2021-03-31 20:32:08","2021-03-31 23:24:37","100","True","1978","Cisgender Woman","Yes","Non-Hispanic White","United States of America","California","Other","Yes","Employed full time","Less than $10,000","Advanced degree (Master's, Doctorate)","Democrat","Other Christian:","I buy both","Weekly","Less than Weekly","No","None","25%","Very effective: 90%","Right","","","","","","","","","Right"
"2021-03-31 21:39:17","2021-03-31 23:50:41","100","True","54","Cisgender Woman","Yes","Non-Hispanic White","United States of America","Illinois","Other","Yes","Employed full time","$50,000 - $59,999","Bachelor's degree","Democrat","Roman Catholic","I buy physical books","Daily","Weekly","No","Monday - Friday","50%","Very effective: 90%","","","","","","","","Right","",""
"2021-03-31 21:42:45","2021-03-31 23:54:03","100","True","1990","Cisgender Man","Yes","Non-Hispanic White","United States of America","Minnesota","Graduate Student","Yes","Employed full time","$50,000 - $59,999","Bachelor's degree","Democrat","Roman Catholic","I buy both","More than once a day","Daily","No","Less than 5 weekdays","50%","Moderately effective: 85%","","Wrong","","","","","Right","","",""
"2021-03-31 23:20:13","2021-04-01 00:19:09","100","True","1989","Transgender Man","Yes","Non-Hispanic White","United States of America","Colorado","Other","Yes","Employed full time","$20,000 - $29,999","No college","Socialist","Other:","I buy physical books","More than once a day","Daily","No","None","50%","Moderately effective: 85%","Right","","","","","","","Right","",""
"2021-03-31 23:16:37","2021-04-01 00:21:55","100","True","1995","Cisgender Woman","Yes","Non-Hispanic White","United States of America","Texas","Staff","No","Employed full time","","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy both","Weekly","Less than Weekly","Yes","Less than 5 weekdays","50%","Very effective: 90%","","","","Wrong","Right","","","","",""
"2021-03-31 22:55:07","2021-04-01 00:33:35","100","True","1997","Cisgender Woman","Yes","Black or African American","United States of America","New Jersey","Other","Yes","Employed full time","$10,000 - $19,999","Bachelor's degree","Prefer not to say","Other Christian:","I buy physical books","More than once a day","Less than Weekly","No","Less than 5 weekdays","50%","Moderately effective: 85%","Right","","","","Wrong","","","","",""
"2021-04-01 00:08:29","2021-04-01 00:55:07","100","True","1989","Cisgender Man","Yes","Non-Hispanic White","United Kingdom of Great Britain and Northern Ireland","","Undergraduate Student","Yes","Employed full time","$50,000 - $59,999","Advanced degree (Master's, Doctorate)","Republican","Roman Catholic","I buy physical books","Weekly","Daily","Yes","Less than 5 weekdays","75%","Very effective: 90%","Right","","","","","Right","","","",""
"2021-03-31 23:59:47","2021-04-01 01:29:39","100","True","1996","Cisgender Man","Yes","Hispanic or Latino","United States of America","Arizona","Undergraduate Student","Yes","Employed part time","$20,000 - $29,999","Some college","Republican","Other Christian:","I buy physical books","More than once a day","Less than Weekly","No","Less than 5 weekdays","50%","Moderately effective: 85%","","","Right","","","","","","","Right"
"2021-04-01 01:37:44","2021-04-01 03:25:49","100","True","1997","Cisgender Woman","Yes","Non-Hispanic White","United States of America","New Jersey","Staff","Yes","Employed full time","$80,000 - $89,999","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy both","Weekly","Daily","Yes","Less than 5 weekdays","75%","Very effective: 90%","","","","","","Right","","","",""
"2021-04-01 00:03:38","2021-04-01 03:36:05","100","True","25","Cisgender Woman","Yes","Non-Hispanic White","United States of America","New Jersey","Staff","Yes","Employed full time","$100,000 - $149,999","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy ebooks","Less than Weekly","Prefer not to say","No","None","75%","Extremely effective: 95%","Right","","","","Right","","","","",""
"2021-04-01 03:32:56","2021-04-01 04:33:54","100","True","1998","Cisgender Woman","No","Non-Hispanic White","Italy","","Other","Yes","Student","Less than $10,000","Some college","Prefer not to say","Roman Catholic","I buy physical books","More than once a day","Less than Weekly","Yes","Monday - Friday","100%","Very effective: 90%","","","","Right","","","","","Right",""
"2021-04-01 03:22:35","2021-04-01 04:45:14","100","True","1989","Cisgender Man","Yes","Non-Hispanic White","United Kingdom of Great Britain and Northern Ireland","","Other","Yes","Employed full time","$30,000 - $39,999","Some college","Independent","Atheist or agnostic","I buy both","Daily","Less than Weekly","Yes","Less than 5 weekdays","25%","Extremely effective: 95%","","","Wrong","","","","","Right","",""
"2021-04-01 03:42:53","2021-04-01 04:49:54","100","True","1999","Cisgender Man","No","Non-Hispanic White","Italy","","Other","No","Student","","Some college","Prefer not to say","Atheist or agnostic","I buy both","More than once a day","Less than Weekly","Yes","Monday - Friday","50%","Moderately effective: 85%","","","Right","","","","Right","","",""
"2021-04-01 04:52:01","2021-04-01 05:30:16","100","True","2003","Prefer not to disclose","Yes","Non-Hispanic White","United States of America","District of Columbia","Undergraduate Student","No","Employed part time","","Some college","Democrat","Atheist or agnostic","I don't purchase books","Daily","Less than Weekly","Yes","Less than 5 weekdays","50%","Very effective: 90%","Right","","","","","","","","Right",""
"2021-04-01 05:19:22","2021-04-01 05:56:25","100","True","2002","Cisgender Man","Yes","Asian","United Kingdom of Great Britain and Northern Ireland","","Other","No","Student","","Some college","Other","Hindu","I buy physical books","More than once a day","Less than Weekly","Yes","Less than 5 weekdays","75%","Very effective: 90%","","Right","","","","","","","","Right"
"2021-04-01 04:38:43","2021-04-01 05:57:50","100","True","1989","Cisgender Man","Yes","Black or African American","United Kingdom of Great Britain and Northern Ireland","","Other","No","Student","","Advanced degree (Master's, Doctorate)","Independent","Other Christian:","I buy both","More than once a day","More than once a day","Yes","Monday - Friday","50%","Very effective: 90%","","","","Right","","","","","","Right"
"2021-04-01 04:19:40","2021-04-01 06:40:59","100","True","1999","Cisgender Man","Yes","Non-Hispanic White","United States of America","Texas","Undergraduate Student","Yes","Employed part time","$10,000 - $19,999","Some college","Democrat","Roman Catholic","I buy both","Weekly","Daily","Yes","Monday - Friday","50%","Very effective: 90%","","","Right","","","Right","","","",""
"2021-04-01 05:50:31","2021-04-01 07:37:27","100","True","1988","Cisgender Man","Yes","Hispanic or Latino","France","","Graduate Student","Yes","Employed part time","Less than $10,000","Bachelor's degree","Independent","Atheist or agnostic","I buy both","Daily","Weekly","No","Less than 5 weekdays","50%","Extremely effective: 95%","","","","Wrong","","","Right","","",""
"2021-04-01 06:40:19","2021-04-01 07:42:18","100","True","1998","Cisgender Man","Yes","Black or African American","United States of America","Illinois","Graduate Student","Yes","Employed full time","$40,000 - $49,999","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy physical books","Weekly","Daily","Yes","Less than 5 weekdays","50%","Very effective: 90%","","Wrong","","","","","","","Right",""
"2021-04-01 06:33:51","2021-04-01 08:04:18","100","True","1994","Cisgender Man","Yes","Black or African American","United States of America","Washington","Graduate Student","Yes","Employed part time","$30,000 - $39,999","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy both","More than once a day","More than once a day","No","None","25%","Moderately effective: 85%","","","","Right","Right","","","","",""
"2021-04-01 06:51:47","2021-04-01 08:11:02","100","True","1995","Cisgender Woman","Yes","Non-Hispanic White","United States of America","New Jersey","Graduate Student","Yes","Employed full time","$90,000 - $99,999","Advanced degree (Master's, Doctorate)","Democrat","Roman Catholic","I buy both","Less than Weekly","Weekly","Yes","Less than 5 weekdays","50%","Very effective: 90%","","Wrong","","","","","","Right","",""
"2021-04-01 06:34:20","2021-04-01 08:11:53","100","True","1993","Prefer not to disclose","Yes","Non-Hispanic White","United States of America","Kansas","Other","Yes","Employed part time","$30,000 - $39,999","No college","Republican","Roman Catholic","I buy ebooks","Less than Weekly","Less than Weekly","Yes","Monday - Friday","100%","Extremely effective: 95%","Right","","","","","","Right","","",""
"2021-04-01 07:04:32","2021-04-01 08:19:15","100","True","2001","Non-binary","Yes","Non-Hispanic White","United States of America","Virginia","Other","Yes","Student","Less than $10,000","Some college","Democrat","Atheist or agnostic","I buy both","Weekly","Less than Weekly","No","None","25%","Moderately effective: 85%","","Right","","","","","","","Right",""
"2021-04-01 06:40:45","2021-04-01 08:33:07","100","True","US","Cisgender Man","Yes","Non-Hispanic White","United States of America","Texas","Graduate Student","Yes","Employed full time","$20,000 - $29,999","Bachelor's degree","Republican","Roman Catholic","I buy both","Daily","Weekly","Yes","Monday - Friday","50%","Moderately effective: 85%","","","Wrong","","Right","","","","",""
"2021-04-01 08:01:41","2021-04-01 09:00:47","100","True","1991","Cisgender Man","Yes","Native American","United States of America","Texas","Graduate Student","Yes","Employed part time","$30,000 - $39,999","Bachelor's degree","Republican","Roman Catholic","I buy physical books","Daily","Weekly","No","Less than 5 weekdays","50%","Very effective: 90%","Right","","","","","","","","",""
"2021-04-01 08:17:19","2021-04-01 11:37:57","100","True","1985","Cisgender Man","Yes","Native American","United States of America","Illinois","Faculty","Yes","Employed full time","$70,000 - $79,999","Bachelor's degree","Democrat","Roman Catholic","I buy both","Weekly","Daily","No","Less than 5 weekdays","50%","Very effective: 90%","","","","Right","","","Right","","",""
"2021-04-01 15:16:00","2021-04-01 15:46:43","100","True","","Prefer not to disclose","Yes","Asian","","","","","Employed full time","","Bachelor's degree","Prefer not to say","Prefer not to say","I buy physical books","Prefer not to say","Prefer not to say","Yes","None","50%","Very effective: 90%","","Wrong","","","","","Right","","",""
"2021-04-01 12:44:45","2021-04-01 15:57:32","100","True","1990","Cisgender Man","Yes","Native American","United States of America","California","Graduate Student","Yes","Employed full time","$70,000 - $79,999","Bachelor's degree","Democrat","Roman Catholic","I buy physical books","Less than Weekly","Weekly","No","None","25%","Very effective: 90%","","","Right","","","","Wrong","","",""
"2021-04-06 11:01:30","2021-04-06 11:18:08","100","True","","Prefer not to disclose","Prefer not to say","Prefer not to answer","","","Undergraduate Student","","Student","","Some college","Prefer not to say","Prefer not to say","I buy both","Prefer not to say","Prefer not to say","","","","","","","","","","","","","",""
"2021-04-06 16:36:03","2021-04-06 17:11:41","100","True","1999","Cisgender Man","Yes","Non-Hispanic White","Afghanistan","","Undergraduate Student","No","Student","","No college","Democrat","Roman Catholic","I buy ebooks","Less than Weekly","Daily","No","Monday - Friday","100%","Extremely effective: 95%","Wrong","","","","","","","","","Wrong"
"2021-04-06 17:22:56","2021-04-06 17:23:01","100","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-06 17:32:12","2021-04-06 17:32:37","100","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-06 17:33:12","2021-04-06 17:33:19","100","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-06 17:34:23","2021-04-06 17:34:27","100","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-06 17:52:23","2021-04-06 19:01:50","100","True","2000","Cisgender Woman","Yes","Other:","United States of America","California","Undergraduate Student","No","Student","","No college","Democrat","Atheist or agnostic","I buy physical books","More than once a day","Less than Weekly","Yes","None","50%","Very effective: 90%","Right","","","","Right","","","","",""
"2021-03-30 19:02:10","2021-03-30 19:08:36","26","False","1994","Cisgender Man","Yes","Asian","United States of America","California","Graduate Student","Yes","Employed full time","$80,000 - $89,999","Bachelor's degree","Democrat","Atheist or agnostic","I don't purchase books","More than once a day","Less than Weekly","","","","","","","","","","","","","",""
"2021-04-06 18:35:11","2021-04-06 19:25:04","100","True","2000","Cisgender Woman","Yes","Non-Hispanic White","United States of America","California","Undergraduate Student","No","Student","","Some college","Democrat","Jewish","I buy physical books","Daily","Less than Weekly","No","None","50%","Very effective: 90%","Right","","","","","","Right","","",""
"2021-04-06 20:08:49","2021-04-06 21:21:28","100","True","2001","Cisgender Woman","Yes","Non-Hispanic White","United States of America","California","Undergraduate Student","No","Student","","Some college","Democrat","Jewish","I don't purchase books","More than once a day","Less than Weekly","Yes","None","50%","Very effective: 90%","Right","","","","Wrong","","","","",""
"2021-04-06 20:27:18","2021-04-06 21:44:45","100","True","2000","Cisgender Woman","Yes","Non-Hispanic White","United States of America","California","Undergraduate Student","Yes","Employed part time","Less than $10,000","Some college","Democrat","Other Christian:","I buy both","More than once a day","Less than Weekly","Yes","Less than 5 weekdays","50%","Very effective: 90%","Right","","","","","","","","Right",""
"2021-04-06 21:16:01","2021-04-06 22:28:42","100","True","1999","Cisgender Woman","No","Asian","United States of America","California","Undergraduate Student","Yes","Student","$20,000 - $29,999","No college","Prefer not to say","Atheist or agnostic","I buy physical books","More than once a day","Weekly","No","None","25%","Moderately effective: 85%","","Right","","","","","","Right","",""
"2021-04-06 21:36:44","2021-04-06 22:41:42","100","True","1999","Cisgender Woman","Yes","Hispanic or Latino","United States of America","California","Undergraduate Student","Yes","Unemployed looking for work","Less than $10,000","Some college","Democrat","Roman Catholic","I buy both","More than once a day","Less than Weekly","No","None","25%","Very effective: 90%","","","","Right","","","","","Right",""
"2021-04-06 22:04:43","2021-04-06 22:49:13","100","True","1999","Cisgender Woman","No","Asian","United States of America","California","Undergraduate Student","Yes","Student","Less than $10,000","No college","Democrat","Prefer not to say","I buy both","More than once a day","Less than Weekly","No","Less than 5 weekdays","50%","Very effective: 90%","","","","Right","","","","Right","",""
"2021-04-06 22:53:48","2021-04-06 23:25:07","100","True","2000","Cisgender Woman","No","Asian","United States of America","California","Undergraduate Student","Yes","Unemployed looking for work","Less than $10,000","Bachelor's degree","Other","Other Christian:","I don't purchase books","Weekly","Weekly","No","Less than 5 weekdays","25%","Moderately effective: 85%","","","Right","","","","Right","","",""
"2021-04-06 22:21:52","2021-04-06 23:26:01","100","True","1998","Cisgender Man","Yes","Asian","United States of America","California","Undergraduate Student","Yes","Student","Less than $10,000","Bachelor's degree","Democrat","Roman Catholic","I buy physical books","More than once a day","Less than Weekly","Yes","Less than 5 weekdays","50%","Very effective: 90%","","Right","","","","","","Right","",""
"2021-04-06 19:33:32","2021-04-06 23:32:45","100","True","2002","Non-binary","No","Hispanic or Latino","Mexico","","Undergraduate Student","No","Student","","Some college","Other","Atheist or agnostic","I buy physical books","More than once a day","Less than Weekly","No","None","25%","Extremely effective: 95%","Right","","","","Right","","","","",""
"2021-04-06 23:35:44","2021-04-07 00:26:53","100","True","1998","Non-binary","Prefer not to say","Asian","United States of America","California","Undergraduate Student","No","Student","","No college","Independent","Protestant","I buy both","More than once a day","Weekly","No","None","25%","Moderately effective: 85%","Right","","","","","","","","Right",""
"2021-04-07 01:42:02","2021-04-07 02:00:43","100","True","2000","Cisgender Woman","Yes","Asian","United States of America","California","Undergraduate Student","Yes","Unemployed looking for work","$10,000 - $19,999","Some college","Independent","Other:","I don't purchase books","More than once a day","Less than Weekly","No","None","25%","Extremely effective: 95%","","Right","","","","","","","Right",""
"2021-04-06 19:05:06","2021-04-07 03:38:49","100","True","2002","Cisgender Man","Yes","Asian","United States of America","California","Undergraduate Student","No","Student","","No college","Independent","Other Christian:","I buy physical books","Weekly","Weekly","Yes","Less than 5 weekdays","50%","Very effective: 90%","","","Right","","","Right","","","",""
"2021-04-07 05:57:11","2021-04-07 07:46:08","100","True","1997","Cisgender Man","No","Asian","Hong Kong (S.A.R.)","","Undergraduate Student","No","Student","","Some college","Prefer not to say","Buddhist","I buy both","More than once a day","Less than Weekly","No","None","25%","Moderately effective: 85%","","","","Right","","","","","","Right"
"2021-04-07 08:57:34","2021-04-07 09:13:59","100","True","test","Prefer not to disclose","Prefer not to say","Prefer not to answer","","","Undergraduate Student","No","Student","","Some college","Prefer not to say","Prefer not to say","I buy both","Weekly","Weekly","","","","","","","","","","","","","",""
"2021-04-07 09:43:53","2021-04-07 09:43:56","100","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-07 10:03:15","2021-04-07 10:03:24","100","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-07 10:03:48","2021-04-07 10:39:51","100","True","test","Prefer not to disclose","Prefer not to say","Prefer not to answer","","","Undergraduate Student","No","Student","","No college","Prefer not to say","Prefer not to say","I buy both","Weekly","Weekly","No","None","75%","","","","","","","","","","",""
"2021-04-07 11:12:04","2021-04-07 11:17:20","100","True","","","","","","","","","","","","","","","","","","","","","","","Wrong","","","","","","",""
"2021-04-06 23:47:49","2021-04-07 12:13:15","100","True","2002","Cisgender Man","Yes","Asian","United States of America","New Jersey","Undergraduate Student","No","Student","","Some college","Independent","Prefer not to say","I buy physical books","More than once a day","Less than Weekly","Yes","None","50%","Extremely effective: 95%","","","Right","","","","","Right","",""
"2021-04-07 11:59:18","2021-04-07 12:25:38","100","True","test","Prefer not to disclose","Prefer not to say","Prefer not to answer","","","Undergraduate Student","Yes","Student","$10,000 - $19,999","Some college","Prefer not to say","Prefer not to say","I buy both","Weekly","Weekly","No","None","25%","Moderately effective: 85%","","","","","Wrong","","","","",""
"2021-04-07 12:13:02","2021-04-07 13:17:09","100","True","1999","Cisgender Man","Yes","Asian","United States of America","California","Undergraduate Student","No","Employed part time","","Some college","Democrat","Buddhist","I buy both","Daily","Less than Weekly","No","Less than 5 weekdays","50%","Moderately effective: 85%","","","","Wrong","","","Right","","",""
"2021-04-07 14:48:15","2021-04-07 15:41:02","100","True","2001","Transgender Man","Yes","Non-Hispanic White","United States of America","California","Undergraduate Student","Yes","Employed full time","Less than $10,000","Some college","Socialist","Roman Catholic","I don't purchase books","More than once a day","Less than Weekly","No","None","25%","Extremely effective: 95%","","Wrong","","","","","Right","","",""
"2021-04-07 15:15:17","2021-04-07 16:03:46","100","True","2000","Non-binary","Yes","Asian","United States of America","California","Undergraduate Student","Yes","Student","Less than $10,000","No college","Democrat","Hindu","I buy both","More than once a day","More than once a day","No","None","25%","Very effective: 90%","","Right","","","","","","","Right",""
"2021-04-07 15:15:30","2021-04-07 16:14:07","100","True","2001","Cisgender Woman","Yes","Non-Hispanic White","United States of America","California","Undergraduate Student","No","Student","","Some college","Democrat","Atheist or agnostic","I don't purchase books","More than once a day","Less than Weekly","Yes","None","50%","Moderately effective: 85%","","","","Right","","Right","","","",""
